[2026-09-24 | 20:44:48] INFO     [scrapers.tvf90] URL 3) Captured M3U8                                                   (tvf90.py:58)
[2026-09-24 | 20:44:48] INFO     [scrapers.fawa] URL 4) Captured M3U8                                                   (fawa.py:33)
[2026-09-24 | 20:44:48] INFO     [scrapers.fawa] URL 5) Captured M3U8                                                   (fawa.py:33)
[2026-09-24 | 20:44:48] INFO     [scrapers.tvf90] URL 4) Captured M3U8                                                   (tvf90.py:58)
[2026-09-24 | 20:44:48] INFO     [scrapers.fawa] URL 6) Captured M3U8                                                   (fawa.py:33)
[2026-09-24 | 20:44:48] INFO     [scrapers.webcast] URL 1) Captured M3U8                                                   (webcast.py:94)
[2026-09-24 | 20:44:49] INFO     [scrapers.tvf90] URL 5) Captured M3U8                                                   (tvf90.py:58)
[2026-09-24 | 20:44:49] INFO     [scrapers.streamcenter] URL 1) Captured M3U8                                                   (streamcenter.py:61)
[2026-09-24 | 20:44:49] INFO     [scrapers.fawa] URL 7) Captured M3U8                                                   (fawa.py:33)
[2026-09-24 | 20:44:49] INFO     [scrapers.fawa] URL 8) Captured M3U8                                                   (fawa.py:33)
[2026-09-24 | 20:44:49] INFO     [scrapers.tvf90] URL 6) Captured M3U8                                                   (tvf90.py:58)
[2026-09-24 | 20:44:49] INFO     [scrapers.webcast] URL 2) Captured M3U8                                                   (webcast.py:94)
[2026-09-24 | 20:44:49] INFO     [scrapers.streamcenter] URL 2) Captured M3U8                                                   (streamcenter.py:61)
[2026-09-24 | 20:44:49] INFO     [scrapers.tvf90] URL 7) Captured M3U8                                                   (tvf90.py:58)
[2026-09-24 | 20:44:50] INFO     [scrapers.fawa] URL 9) Captured M3U8                                                   (fawa.py:33)
[2026-09-24 | 20:44:50] INFO     [scrapers.tvf90] URL 8) Captured M3U8                                                   (tvf90.py:58)
[2026-09-24 | 20:44:50] INFO     [scrapers.streamcenter] URL 3) Captured M3U8                                                   (streamcenter.py:61)
[2026-09-24 | 20:44:50] INFO     [scrapers.webcast] URL 3) Captured M3U8                                                   (webcast.py:94)
[2026-09-24 | 20:44:50] INFO     [scrapers.fawa] URL 10) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:50] INFO     [scrapers.fawa] URL 11) Captured M3U8                                                  (fawa.py:33)
[2026-09-24 | 20:44:50] INFO     [scrapers.tvf90] URL 9) Captured M3U8                                                   (tvf90.py:58)
[2026-09-24 | 20:44:50] INFO     [scrapers.streamcenter] URL 4) Captured M3U8                                                   (streamcenter.py:61)
